UserID,NroUSP,Type,CLGroup,CLRole,PlayerRole,ReA,UnC,ApB1,ApB2,AnC1,AnC2,EvB
10219.0,10276831.0,ont-gamified,Grupo Razorg,Apprentice,Yee Achiever,1.0,0.46153846153846156,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0
10220.0,9760151.0,non-gamified,Grupo Team 4,Apprentice,NA,0.8333333333333334,1.0,1.0,1.0,1.0,0.6666666666666666,0.7222222222222222
10221.0,9082496.0,non-gamified,Grupo Team 3,Apprentice,NA,0.9722222222222222,0.23076923076923078,0.0,0.0,0.3333333333333333,0.3333333333333333,0.7222222222222222
10224.0,9368772.0,non-gamified,Grupo Team 9,Apprentice,NA,0.4583333333333333,1.0,1.0,1.0,0.2777777777777778,0.6111111111111112,1.0
10226.0,10310342.0,ont-gamified,Grupo Yeka,Apprentice,Yee Socializer,0.8333333333333334,0.0,1.0,1.0,1.0,0.6666666666666666,1.0
10227.0,9274382.0,non-gamified,Grupo Team 2,Apprentice,NA,0.6666666666666666,0.7307692307692307,1.0,0.42857142857142855,0.6666666666666666,1.0,0.7222222222222222
10228.0,10310492.0,ont-gamified,Grupo Losvakai,Apprentice,Yee Achiever,0.9722222222222222,1.0,1.0,1.0,0.3333333333333333,0.0,0.7222222222222222
10230.0,10351992.0,ont-gamified,Grupo Koil,Apprentice,Yee Achiever,1.0,1.0,1.0,1.0,0.6111111111111112,1.0,1.0
10231.0,10276911.0,non-gamified,Grupo Team 4,Master,NA,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
10232.0,10276974.0,non-gamified,Grupo Team 3,Apprentice,NA,1.0,1.0,1.0,0.42857142857142855,1.0,0.2777777777777778,0.5
10237.0,10377688.0,ont-gamified,Grupo Ellaru,Apprentice,Yee Socializer,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0
10238.0,10276953.0,ont-gamified,Grupo Belos,Apprentice,Yee Socializer,0.8194444444444444,1.0,1.0,0.42857142857142855,0.6666666666666666,1.0,0.4444444444444444
10240.0,10276654.0,non-gamified,Grupo Team 8,Apprentice,NA,1.0,1.0,1.0,0.42857142857142855,0.6666666666666666,0.2777777777777778,1.0
